code,scheme,resolution_deg,native_resolution_deg,coarsen_lat_factor,coarsen_lon_factor,hours,native_points,processed_points,point_hours,source_bytes,capacity_layout,capacity_years,wind_capacity_mw,solar_capacity_mw,wind_capacity_mw_start,wind_capacity_mw_end,solar_capacity_mw_start,solar_capacity_mw_end,wind_outside_grid_mw_max,solar_outside_grid_mw_max,wind_outside_grid_points_max,solar_outside_grid_points_max,wind_weight_fallback,solar_weight_fallback,wind_capacity_absent,solar_capacity_absent,wind_low_coverage,solar_low_coverage,wind_fallback_years,solar_fallback_years,compute_s,write_s,total_s,point_hours_per_s,peak_rss_mb,run_id,workers,task_wall_s,source_kind,source_open_s,graph_build_s,system_scope,wind_out_of_system_scope_mw_max,solar_out_of_system_scope_mw_max,wind_out_of_system_scope_points_max,solar_out_of_system_scope_points_max,aggregation_point_hours_per_s,wind_occupied_cells,solar_occupied_cells,combined_occupied_cells,wind_effective_cells,solar_effective_cells,combined_effective_cells
de,uniform,2.0,0.25,8,8,37944,1462,30,1138320,9425745,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,1.1955417080316693,0.3717545419931412,1.7749701249995269,641317.8362651616,628.859375,20260723T013213Z-85f136d9,8,11.437899167009164,resolution_cache,0.0135619170032441,0.1903529170085676,country,0.0,0.0,0.0,0.0,952137.4221850624,24.0,23.0,25.0,13.317274731413145,11.487397822294792,15.089691952720612
de,uniform,1.0,0.25,4,4,37944,1462,99,3756456,28760948,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,1.4021174589870498,0.4916716670268215,2.054183833010029,1828685.4076227464,646.703125,20260723T013213Z-85f136d9,8,11.582456999982242,resolution_cache,0.0132838750141672,0.1324138750205747,country,0.0,0.0,0.0,0.0,2679130.7503679655,64.0,67.3067678684377,73.0,35.45006233305726,34.9227273481223,44.497097366408575
sk,capacity,1.0,0.25,4,4,37944,250,21,796824,6546366,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,0.8941533750039525,0.1677878749906085,1.2015755829634145,663149.2943912973,617.171875,20260723T013213Z-85f136d9,8,6.968612957978621,resolution_cache,0.0132579999626614,0.1221015420160256,country,0.0,0.0,0.0,0.0,891149.1275157103,0.0,11.306767868437698,11.306767868437698,0.0,8.517219323184582,8.517219323184582
de,uniform,0.25,0.25,1,1,37944,1462,1462,55474128,369838804,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,2.528120332979597,0.3991223750053905,3.078606041963212,18019235.73326856,699.265625,20260723T013213Z-85f136d9,8,11.992424459022004,resolution_cache,0.0148247919860295,0.1302730410243384,country,0.0,0.0,0.0,0.0,21942835.26631788,488.68247944339026,729.6767868437697,778.607210626186,150.54695721426486,265.4689562449778,258.3471390064889
de,capacity,1.0,0.25,4,4,37944,1462,99,3756456,28760948,annual,"2022,2023,2024,2025,2026",47326.791018342825,25020.629239721693,43410.4,50568.6,16878.836,33217.595,0.0,0.0,0,0,False,False,False,False,False,False,,,1.1704277499811724,0.1053543339949101,1.4080913749639876,2667764.3701184327,626.015625,20260723T013213Z-85f136d9,8,11.101601667003706,resolution_cache,0.0094383750110864,0.1182288329582661,country,0.0,0.0,0.0,0.0,3209472.7761371234,64.0,67.3067678684377,73.0,35.45006233305726,34.9227273481223,44.497097366408575
sk,capacity,2.0,0.25,8,8,37944,250,8,303552,2815766,annual,"2022,2023,2024,2025,2026",0.0,826.3574636306136,0.0,0.0,785.75,885.8499999999999,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,0.8755996670224704,0.1785477919620461,1.1714630830101669,259122.12207319343,624.828125,20260723T013213Z-85f136d9,8,6.821608417027164,resolution_cache,0.0096260829595848,0.1037277079885825,country,0.0,0.0,0.0,0.0,346678.9806262112,0.0,7.0,7.0,0.0,3.078887296833972,3.078887296833972
si,capacity,0.25,0.25,1,1,37944,120,120,4553280,33289541,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,1.2330060829990543,0.1189566659741103,1.49633300001733,3042959.0204501706,605.84375,20260723T013213Z-85f136d9,8,11.998955167015083,resolution_cache,0.0263599580503068,0.112909292045515,country,0.0,0.0,0.0,0.0,3692828.496778383,0.0,20.690702087286528,20.690702087286528,0.0,9.376024077169866,9.376024077169866
rs,uniform,0.5,0.25,2,2,37944,342,90,3414960,25566444,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,1.230517958989367,0.3235976249561645,1.6975322919897735,2011720.198852378,603.3125,20260723T013213Z-85f136d9,8,10.464271624980029,resolution_cache,0.0125750420265831,0.1242273750249296,country,0.0,0.0,0.0,0.0,2775221.5845794976,4.538266919671094,15.84313725490196,19.61227071473751,1.8827835847676555,9.044472569328544,2.7945710946431
lv,uniform,0.25,0.25,1,1,37944,372,372,14115168,94531869,annual,"2022,2023,2024,2025,2026",100.0,289.8595825426945,100.0,100.0,18.6,585.3000000000001,0.0,0.0,0,0,False,False,False,False,True,True,,,1.1503019590163603,0.3437598749878816,1.62307241698727,8696573.148720268,667.359375,20260723T013213Z-85f136d9,8,11.734338333946653,resolution_cache,0.008654250006657,0.1126863749814219,country,0.0,0.0,0.0,0.0,12270837.139206544,3.0,35.45351043643264,37.91524351676154,2.3137436372049973,15.245824200538244,12.015089209633068
lv,uniform,2.0,0.25,8,8,37944,372,8,303552,2855918,annual,"2022,2023,2024,2025,2026",100.0,289.8595825426945,100.0,100.0,18.6,585.3000000000001,0.0,0.0,0,0,False,False,False,False,True,True,,,0.8704194579622708,0.5473577499506064,1.7002538749948144,178533.33814688458,628.859375,20260723T013213Z-85f136d9,8,11.616322832996955,resolution_cache,0.0112562080030329,0.223399666021578,country,0.0,0.0,0.0,0.0,348742.20379981183,2.0,5.38393421884883,6.076533839342188,1.470588235294118,2.605996327159741,3.530445569281457
