code,rows,train_rows,test_rows,test_start,test_end,task,model,metric,calendar_score,both_score,gain,evaluation_wall_s,resolution_deg,scheme,capacity_layout,capacity_years,run_id,workers,calendar_mae,both_mae,mae_reduction
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.2053276329345269,0.5624950836512889,0.3571674507167619,8.238265332998708,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.666062156668551,4.886320076288769,1.7797420803797823
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8439973298483466,0.9148555391543892,0.0708582093060427,7.414278500014916,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.8032544823760589,0.8570667349874483,0.0538122526113894,7.414278500014916,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.2051608737089854,0.5709445061812057,0.3657836324722203,7.414278500014916,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.669137291176178,4.8345444542895315,1.8345928368866469
at,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8934039385367636,0.9162595081301268,0.0228555695933632,10.475675499998031,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.2053276329345269,0.5686908772563045,0.3633632443217776,7.414278500014916,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.666062156668551,4.861067481353341,1.8049946753152095
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.8032544823760589,0.8860315341149482,0.0827770517388892,7.0803609160357155,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.2051608737089854,0.6570629025714629,0.4519020288624775,7.0803609160357155,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.669137291176178,4.27806185417554,2.391075437000638
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.2053276329345269,0.659113266525235,0.4537856335907081,7.0803609160357155,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.666062156668551,4.272519570250902,2.3935425864176496
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8439973298483466,0.9146585684602438,0.0706612386118972,7.459418666025158,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.8032544823760589,0.8717734884027041,0.0685190060266451,7.459418666025158,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.2051608737089854,0.5617940541111754,0.35663318040219,7.459418666025158,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.669137291176178,4.8795345516960325,1.789602739480146
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.2053276329345269,0.5551149779299362,0.3497873449954093,7.459418666025158,0.25,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,6.666062156668551,4.93217074220068,1.7338914144678714
fr,37882,30305,7577,2025-06-18 00:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8439973298483466,0.9298718515245248,0.0858745216761782,7.0803609160357155,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
lv,37941,30352,7589,2025-06-18 16:00:00+00:00,2026-04-30 20:00:00+00:00,classification,LogReg,auc,0.6047247653192754,0.6094712044177689,0.0047464390984934,10.63291158399079,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
lt,37939,30351,7588,2025-06-18 16:00:00+00:00,2026-04-30 20:00:00+00:00,regression,LightGBM,r2,-0.1407038953587196,0.2769717037259227,0.4176755990846423,9.679454625002109,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,31.560561210784737,23.51702886403871,8.043532346746026
lv,37941,30352,7589,2025-06-18 16:00:00+00:00,2026-04-30 20:00:00+00:00,regression,GradientBoosting,r2,0.1064500428780012,0.1030328739903994,-0.0034171688876017,9.81535533297574,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,28.93154042520603,28.131984456002147,0.7995559692038867
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.0113241157328115,0.8081717466126694,0.7968476308798579,6.7819474170100875,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.237823805520224,4.966708364875774,7.271115440644452
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,LogReg,auc,0.7521459560523929,0.8714172415255947,0.1192712854732018,10.161908708978444,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,RandForest,auc,0.7258488546106153,0.8610211070746534,0.135172252464038,10.161908708978444,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,GradientBoosting,r2,0.1880983856235334,0.5068254259510088,0.3187270403274753,10.161908708978444,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.090024134966306,10.99918896299909,3.090835171967216
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,LightGBM,r2,0.1781927962791758,0.4910304401974218,0.312837643918246,10.161908708978444,0.25,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.180399151819149,11.1908212339275,2.9895779178916477
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,LogReg,auc,0.7521459560523929,0.8728470166485767,0.1207010605961838,10.14698399999179,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,RandForest,auc,0.7258488546106153,0.8554774303849029,0.1296285757742875,10.14698399999179,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,GradientBoosting,r2,0.1880983856235334,0.4947693373213847,0.3066709516978513,10.14698399999179,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.090024134966306,11.174257680060688,2.9157664549056186
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,LightGBM,r2,0.1781927962791758,0.4799860409138795,0.3017932446347037,10.14698399999179,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.180399151819149,11.313855073232112,2.8665440785870366
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,LogReg,auc,0.7521459560523929,0.8716245252908612,0.1194785692384683,10.130786291032564,0.5,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,RandForest,auc,0.7258488546106153,0.8593218803017306,0.1334730256911153,10.130786291032564,0.5,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,GradientBoosting,r2,0.1880983856235334,0.503844345055086,0.3157459594315526,10.130786291032564,0.5,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.090024134966306,11.043912521001536,3.0461116139647704
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,LightGBM,r2,0.1781927962791758,0.4923870604279413,0.3141942641487655,10.130786291032564,0.5,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.180399151819149,11.154749537066156,3.025649614752993
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,LogReg,auc,0.7521459560523929,0.8605973566318905,0.1084514005794976,10.379115334013475,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,classification,RandForest,auc,0.7258488546106153,0.8388787345136437,0.1130298799030283,10.379115334013475,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.009739908680317,0.8076725736392474,0.7979326649589303,6.7819474170100875,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.245521516628212,4.999363194643453,7.246158321984759
pt,37943,30354,7589,2025-06-18 18:00:00+00:00,2026-04-30 22:00:00+00:00,regression,GradientBoosting,r2,0.1880983856235334,0.4583858450258621,0.2702874594023287,10.379115334013475,2.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,14.090024134966306,11.564952454863432,2.525071680102874
