model,countries,correlation,slope,intercept
LogReg,17,0.8497986940340271,0.007622878479163025,0.06783761811125195
RandForest,17,0.8807944101391566,0.006400780177701916,0.07168303017477534
GradientBoosting,17,0.814457050234573,0.017117370555643642,0.17546345700933125
LightGBM,17,0.8087134314386129,0.017881787155391654,0.15952542177200757
